	Hallo! =	Hej! 
	Wie? =	 Hur (Här:Vad?) 
	Hiessen = 	heta
	du =	 du 
	Wie heissen Sie? = 	Vad heter ni? 
	Salû! =		 Hej (Schweiz) 
	Ich bin ... =	 Jag är .. 
	und = 		och 
	Grûss Dich! =	 Hej (Österrike) 
	Woher =		 Varifrån
	kommen =	 komma 
	Woher kommst du? =	 Vartifrån kommer du? 
	aus = 		från 
	Ich komme aus Deutschland =	 Jag kommer från Tyskland 
	Wo? = 		var? 
	wohnen = 	bo 
	Wo wohnst du? =		 var bort du 
	Ich whone in = 	Jag bor i
	Bis morgen! = 	Vi ses imorgon! 
	Tschüss! =	Hejdå!
	Ciao 	= 	Hej då!
	Wie geht's = 	Hur mår du= 
	Danke, gut = 	Tack, bra. 
